s,r,o
cellular_telephone.n.01,atLocation,bedroom.l.01
fabric.n.01,atLocation,bedroom.l.01
bed.n.01,atLocation,bedroom.l.01
fabric.n.01,atLocation,bedroom.l.01
trash_can.n.01,atLocation,bedroom.l.01
sports_equipment.n.01,atLocation,bedroom.l.01
blind.n.03,atLocation,bedroom.l.01
cabinet.n.01,hasMaterial,wood.n.01
lamp.n.02,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
fabric.n.01,hasMaterial,fabric.n.01
cabinet.n.01,hasMaterial,wood.n.01
table.n.02,hasMaterial,wood.n.01
table.n.02,hasMaterial,fabric.n.01
mirror.n.01,hasMaterial,wood.n.01
fabric.n.01,hasMaterial,fabric.n.01
bed.n.01,hasMaterial,wood.n.01
bed.n.01,hasMaterial,linen.n.01
fabric.n.01,hasMaterial,fabric.n.01
sports_equipment.n.01,hasMaterial,leather.n.01
pencil.n.01,hasAffordance,pick_up.v.02
pencil.n.01,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
pen.n.01,hasAffordance,pick_up.v.02
pen.n.01,hasAffordance,put.v.01
lamp.n.02,hasAffordance,turn_on.v.01
lamp.n.02,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
credit_card.n.01,hasAffordance,pick_up.v.02
credit_card.n.01,hasAffordance,put.v.01
book.n.11,hasAffordance,open.v.01
book.n.11,hasAffordance,close.v.01
book.n.11,hasAffordance,pick_up.v.02
book.n.11,hasAffordance,put.v.01
key.n.01,hasAffordance,pick_up.v.02
key.n.01,hasAffordance,put.v.01
fabric.n.01,hasAffordance,pick_up.v.02
fabric.n.01,hasAffordance,put.v.01
laptop.n.01,hasAffordance,open.v.01
laptop.n.01,hasAffordance,close.v.01
laptop.n.01,hasAffordance,pick_up.v.02
laptop.n.01,hasAffordance,put.v.01
laptop.n.01,hasAffordance,turn_on.v.01
laptop.n.01,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
alarm_clock.n.01,hasAffordance,pick_up.v.02
alarm_clock.n.01,hasAffordance,put.v.01
mirror.n.01,hasAffordance,clean.v.01
mirror.n.01,hasAffordance,dirty.v.01
switch.n.01,hasAffordance,turn_on.v.01
switch.n.01,hasAffordance,turn_off.v.01
cellular_telephone.n.01,hasAffordance,pick_up.v.02
cellular_telephone.n.01,hasAffordance,put.v.01
fabric.n.01,hasAffordance,pick_up.v.02
fabric.n.01,hasAffordance,put.v.01
bed.n.01,hasAffordance,tidy.v.01
bed.n.01,hasAffordance,disorganize.v.01
fabric.n.01,hasAffordance,pick_up.v.02
fabric.n.01,hasAffordance,put.v.01
sports_equipment.n.01,hasAffordance,pick_up.v.02
sports_equipment.n.01,hasAffordance,put.v.01
blind.n.03,hasAffordance,open.v.01
blind.n.03,hasAffordance,close.v.01
credit_card.n.01,atLocation,bedroom.l.01
trash_can.n.01,atLocation,bedroom.l.01
